prefix,path,method,tags,summary,description,operation_id,path_params,required_query_params,optional_query_params,request_body_content_types,request_body_schema,success_codes,success_response_schema,notes
accountantDashboard,/accountantDashboard/news,GET,accountantDashboard/news,Get public news articles,,AccountantDashboardNews_get,,,from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseAccountantDashboardPublicNewsArticle,
accountantDashboard,/accountantDashboard/news/tags,GET,accountantDashboard/news,Get all existing news tags,,AccountantDashboardNewsTags_getTags,,,from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseAccountantDashboardTag,
accountingOffice,/accountingOffice/reconciliations/{reconciliationId}/control,GET,"accountingOffice/reconciliations/{reconciliationId}/control, accountingOffice/reconciliations",Returns a list of reconciliation controls with the given reconciliationId,,AccountingOfficeReconciliationsControl_get,reconciliationId (The ID of the reconciliation to get control entries for),,from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseReconciliationControl,
accountingOffice,/accountingOffice/reconciliations/{reconciliationId}/control/:controlReconciliation,PUT,"accountingOffice/reconciliations/{reconciliationId}/control/:controlReconciliation, accountingOffice/reconciliations",Mark a reconciliation as controlled,,AccountingOfficeReconciliationsControlControlReconciliation_controlReconciliation,reconciliationId (The ID of the reconciliation),,,,,200,200:application/json:ResponseWrapperReconciliationControl,
accountingOffice,/accountingOffice/reconciliations/{reconciliationId}/control/:reconcile,PUT,"accountingOffice/reconciliations/{reconciliationId}/control/:reconcile, accountingOffice/reconciliations",Mark a reconciliation as reconciled,,AccountingOfficeReconciliationsControlReconcile_reconcile,reconciliationId (The ID of the reconciliation),,,,,200,200:application/json:ResponseWrapperReconciliationControl,
accountingOffice,/accountingOffice/reconciliations/{reconciliationId}/control/:requestControl,PUT,"accountingOffice/reconciliations/{reconciliationId}/control/:requestControl, accountingOffice/reconciliations",Request control of a reconciliation,,AccountingOfficeReconciliationsControlRequestControl_requestControl,reconciliationId (The ID of the reconciliation),,,application/json; charset=utf-8,application/json; charset=utf-8:array[integer],200,200:application/json:ListResponseReconciliationControl,
activity,/activity,GET,activity,Find activities corresponding with sent data.,,Activity_search,,,id (List of IDs); name (Containing); number (Equals); description (Containing); isProjectActivity (Equals); isGeneral (Equals); isChargeable (Equals); isTask (Equals); isInactive (Equals); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseActivity,
activity,/activity,POST,activity,Add activity.,,Activity_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:Activity,201,201:application/json:ResponseWrapperActivity,
activity,/activity/>forTimeSheet,GET,activity,Find applicable time sheet activities for an employee on a specific day.,,ActivityForTimeSheet_getForTimeSheet,,projectId (Project ID),employeeId (Employee ID. Defaults to ID of token owner.); date (yyyy-MM-dd. Defaults to today.); filterExistingHours (Whether to filter out activities that have registered hours.); query (Containing); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseActivity,
activity,/activity/list,POST,activity,Add multiple activities.,,ActivityList_postList,,,,application/json,application/json:array[Activity],201,201:application/json:ListResponseActivity,
activity,/activity/{id},GET,activity,Find activity by ID.,,Activity_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperActivity,
asset,/asset,GET,asset,Find assets corresponding with sent data.,,Asset_search,,,id (List of IDs); name (Containing); description (Containing); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseAsset,
asset,/asset,POST,asset,Create one asset.,,Asset_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:Asset,201,201:application/json:ResponseWrapperAsset,
asset,/asset/assetsExist,GET,asset,Get if AssetOverview details is empty.,,AssetAssetsExist_getAssetsExist,,,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBoolean,
asset,/asset/balanceAccountsSum,GET,asset,Get balanceAccountsSum.,,AssetBalanceAccountsSum_balanceAccountsSum,,,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperNumber,
asset,/asset/canDelete/{id},GET,asset,Validate delete asset,,AssetCanDelete_canDelete,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBoolean,
asset,/asset/deleteImport,DELETE,asset,[BETA] Delete most recent assets import.,,AssetDeleteImport_deleteImport,,,,,,204,204:application/json,BETA
asset,/asset/deleteStartingBalance,DELETE,asset,[BETA] Delete the asset starting balance.,,AssetDeleteStartingBalance_deleteStartingBalance,,,,,,204,204:application/json,BETA
asset,/asset/duplicate/{id},POST,asset,Create copy of one asset,,AssetDuplicate_postDuplicate,id (Element ID),,,,,201,201:application/json,
asset,/asset/list,POST,asset,Create several assets.,,AssetList_postList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Asset],201,201:application/json:ListResponseAsset,
asset,/asset/upload,POST,asset,[BETA] Upload Excel file with Assets in the standard Tripletex defined format.,,AssetUpload_upload,,"isPreview (Is the import a preview, or a real import.); startDate (Start date for asset registry. Should always be on the first day of the year.)",,multipart/form-data,multipart/form-data:object,201,201:application/json:ListResponseAssetAccountRow,BETA
asset,/asset/{id},DELETE,asset,Delete asset.,,Asset_delete,id (Element ID),,,,,204,204:application/json,
asset,/asset/{id},GET,asset,Get asset by ID.,,Asset_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperAsset,
asset,/asset/{id},PUT,asset,Update asset.,,Asset_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:Asset,200,200:application/json:ResponseWrapperAsset,
